Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90
1,Manchester City,18,14,2,2,44,9,35,44,43.2,10.8,32.5,1.8
2,Liverpool,18,12,5,1,50,15,35,41,45.4,18.4,27,1.5
3,Chelsea,18,11,5,2,39,12,27,38,33.4,17.5,16,0.89
4,Arsenal,18,10,2,6,27,23,4,32,26.3,26.4,-0.1,-0.01
5,West Ham,17,8,4,5,28,21,7,28,22.3,20.5,1.8,0.11
6,Manchester Utd,16,8,3,5,26,24,2,27,22.7,25.7,-3,-0.19
7,Tottenham,15,8,2,5,18,19,-1,26,20.5,18.1,2.4,0.16
8,Wolves,18,7,4,7,13,14,-1,25,17.9,24,-6.1,-0.34
9,Leicester City,16,6,4,6,27,27,0,22,24.3,25.4,-1.1,-0.07
10,Aston Villa,17,7,1,9,23,25,-2,22,17.6,23.3,-5.7,-0.34
11,Crystal Palace,17,4,8,5,24,24,0,20,20.7,17.6,3.1,0.18
12,Brentford,16,5,5,6,21,22,-1,20,20.6,19.2,1.4,0.09
13,Brighton,16,4,8,4,14,17,-3,20,18.3,19.8,-1.5,-0.09
14,Everton,17,5,4,8,21,29,-8,19,20.8,25.4,-4.6,-0.27
15,Southampton,17,3,8,6,16,26,-10,17,21.8,23,-1.3,-0.07
16,Leeds United,18,3,7,8,18,36,-18,16,22.4,33,-10.6,-0.59
17,Watford,16,4,1,11,21,31,-10,13,18.9,31.1,-12.2,-0.76
18,Burnley,15,1,8,6,14,21,-7,11,15.1,22.2,-7,-0.47
19,Newcastle Utd,18,1,7,10,18,41,-23,10,15.6,33.1,-17.5,-0.97
20,Norwich City,17,2,4,11,8,34,-26,10,15.7,29,-13.4,-0.79
